time,open,high,low,close
2017-01-03T09:30:00-05:00,13.98,13.98,13,13.24
2017-01-03T10:30:00-05:00,13.26,13.49,13.11,13.43
2017-01-03T11:30:00-05:00,13.42,13.69,13.35,13.49
2017-01-03T12:30:00-05:00,13.48,13.63,13.44,13.47
2017-01-03T13:30:00-05:00,13.46,13.54,13.37,13.47
2017-01-03T14:30:00-05:00,13.48,13.52,13.18,13.28
2017-01-03T15:30:00-05:00,13.3,13.34,12.85,12.85
2017-01-04T09:30:00-05:00,12.47,12.55,12.09,12.18
2017-01-04T10:30:00-05:00,12.22,12.25,12.08,12.09
2017-01-04T11:30:00-05:00,12.1,12.17,12.01,12.16
2017-01-04T12:30:00-05:00,12.17,12.24,12.16,12.22
2017-01-04T13:30:00-05:00,12.21,12.22,11.63,11.93
2017-01-04T14:30:00-05:00,11.92,11.96,11.79,11.79
2017-01-04T15:30:00-05:00,11.82,11.91,11.66,11.85
2017-01-05T09:30:00-05:00,12.02,12.05,11.59,11.61
2017-01-05T10:30:00-05:00,11.6,11.9,11.4,11.82
2017-01-05T11:30:00-05:00,11.81,12.07,11.79,11.88
2017-01-05T12:30:00-05:00,11.9,11.92,11.71,11.74
2017-01-05T13:30:00-05:00,11.73,11.83,11.64,11.66
2017-01-05T14:30:00-05:00,11.68,11.95,11.67,11.79
2017-01-05T15:30:00-05:00,11.8,11.82,11.65,11.67
2017-01-06T09:30:00-05:00,11.6,11.74,11.23,11.28
2017-01-06T10:30:00-05:00,11.29,11.4,11.03,11.08
2017-01-06T11:30:00-05:00,11.07,11.26,11.07,11.1
2017-01-06T12:30:00-05:00,11.08,11.3,10.98,11.29
2017-01-06T13:30:00-05:00,11.3,11.44,11.21,11.42
2017-01-06T14:30:00-05:00,11.41,11.51,11.38,11.46
2017-01-06T15:30:00-05:00,11.47,11.48,11.27,11.32
2017-01-09T09:30:00-05:00,12,12.08,11.86,11.86
2017-01-09T10:30:00-05:00,11.87,11.87,11.53,11.56
2017-01-09T11:30:00-05:00,11.57,11.65,11.55,11.59
2017-01-09T12:30:00-05:00,11.6,11.62,11.46,11.51
2017-01-09T13:30:00-05:00,11.52,11.59,11.48,11.57
2017-01-09T14:30:00-05:00,11.58,11.72,11.53,11.53
2017-01-09T15:30:00-05:00,11.52,11.62,11.5,11.56
2017-01-10T09:30:00-05:00,11.64,11.79,11.51,11.73
2017-01-10T10:30:00-05:00,11.72,11.72,11.31,11.39
2017-01-10T11:30:00-05:00,11.38,11.49,11.37,11.48
2017-01-10T12:30:00-05:00,11.47,11.62,11.47,11.62
2017-01-10T13:30:00-05:00,11.61,11.77,11.55,11.73
2017-01-10T14:30:00-05:00,11.72,11.73,11.55,11.56
2017-01-10T15:30:00-05:00,11.54,11.58,11.43,11.49
2017-01-11T09:30:00-05:00,11.72,11.82,11.53,11.79
2017-01-11T10:30:00-05:00,11.76,11.98,11.72,11.95
2017-01-11T11:30:00-05:00,11.97,12.23,11.59,11.75
2017-01-11T12:30:00-05:00,11.73,12.08,11.73,12.03
2017-01-11T13:30:00-05:00,12.04,12.09,11.54,11.57
2017-01-11T14:30:00-05:00,11.55,11.55,11.35,11.41
2017-01-11T15:30:00-05:00,11.39,11.39,11.21,11.26
2017-01-12T09:30:00-05:00,11.68,12.53,11.63,12.41
2017-01-12T10:30:00-05:00,12.4,12.6,12.21,12.31
2017-01-12T11:30:00-05:00,12.3,12.34,11.86,11.92
2017-01-12T12:30:00-05:00,11.93,11.93,11.72,11.72
2017-01-12T13:30:00-05:00,11.71,11.71,11.47,11.55
2017-01-12T14:30:00-05:00,11.53,11.6,11.42,11.46
2017-01-12T15:30:00-05:00,11.45,11.54,11.32,11.54
2017-01-13T09:30:00-05:00,11.36,11.37,10.94,11.24
2017-01-13T10:30:00-05:00,11.23,11.25,11.14,11.16
2017-01-13T11:30:00-05:00,11.15,11.3,11.07,11.26
2017-01-13T12:30:00-05:00,11.25,11.27,11.19,11.24
2017-01-13T13:30:00-05:00,11.25,11.54,11.25,11.54
2017-01-13T14:30:00-05:00,11.55,11.55,11.37,11.46
2017-01-13T15:30:00-05:00,11.45,11.48,11.23,11.23
2017-01-17T09:30:00-05:00,12.32,12.38,12.01,12.06
2017-01-17T10:30:00-05:00,12.05,12.09,11.95,12.05
2017-01-17T11:30:00-05:00,12.04,12.06,11.85,11.86
2017-01-17T12:30:00-05:00,11.85,11.89,11.8,11.82
2017-01-17T13:30:00-05:00,11.83,12.02,11.79,12.02
2017-01-17T14:30:00-05:00,12.03,12.2,12.02,12.06
2017-01-17T15:30:00-05:00,12.05,12.05,11.86,11.87
2017-01-18T09:30:00-05:00,12.29,12.81,12.19,12.26
2017-01-18T10:30:00-05:00,12.23,12.46,12.16,12.43
2017-01-18T11:30:00-05:00,12.42,12.63,12.41,12.57
2017-01-18T12:30:00-05:00,12.56,12.65,12.52,12.63
2017-01-18T13:30:00-05:00,12.62,12.63,12.45,12.47
2017-01-18T14:30:00-05:00,12.48,12.58,12.35,12.53
2017-01-18T15:30:00-05:00,12.54,12.54,12.43,12.48
2017-01-19T09:30:00-05:00,12.24,12.55,12.18,12.41
2017-01-19T10:30:00-05:00,12.42,12.61,12.22,12.4
2017-01-19T11:30:00-05:00,12.39,12.45,12.35,12.45
2017-01-19T12:30:00-05:00,12.43,12.64,12.43,12.64
2017-01-19T13:30:00-05:00,12.66,13.28,12.61,13.02
2017-01-19T14:30:00-05:00,13.01,13.11,12.95,12.98
2017-01-19T15:30:00-05:00,12.99,13.11,12.77,12.78
2017-01-20T09:30:00-05:00,12.4,12.58,12.28,12.39
2017-01-20T10:30:00-05:00,12.38,12.38,11.95,12.03
2017-01-20T11:30:00-05:00,12.05,12.38,12.01,12.17
2017-01-20T12:30:00-05:00,12.16,12.53,12.16,12.18
