time,open,high,low,close
2017-01-03T09:30:00-05:00,16.26,16.29,15.69,15.78
2017-01-03T10:30:00-05:00,15.77,15.97,15.76,15.92
2017-01-03T11:30:00-05:00,15.9,16.07,15.9,15.97
2017-01-03T12:30:00-05:00,15.96,16.03,15.91,15.92
2017-01-03T13:30:00-05:00,15.91,15.94,15.87,15.9
2017-01-03T14:30:00-05:00,15.91,15.92,15.73,15.82
2017-01-03T15:30:00-05:00,15.83,15.84,15.56,15.56
2017-01-04T09:30:00-05:00,15.35,15.39,15.09,15.11
2017-01-04T10:30:00-05:00,15.12,15.15,15.07,15.07
2017-01-04T11:30:00-05:00,15.06,15.06,15.01,15.06
2017-01-04T12:30:00-05:00,15.07,15.11,15.07,15.1
2017-01-04T13:30:00-05:00,15.09,15.09,14.78,14.88
2017-01-04T14:30:00-05:00,14.89,14.91,14.82,14.82
2017-01-04T15:30:00-05:00,14.83,14.84,14.71,14.84
2017-01-05T09:30:00-05:00,15,15.02,14.68,14.81
2017-01-05T10:30:00-05:00,14.83,14.96,14.51,14.91
2017-01-05T11:30:00-05:00,14.9,15.06,14.9,14.98
2017-01-05T12:30:00-05:00,14.97,14.98,14.8,14.82
2017-01-05T13:30:00-05:00,14.83,14.84,14.77,14.78
2017-01-05T14:30:00-05:00,14.8,14.91,14.79,14.8
2017-01-05T15:30:00-05:00,14.81,14.81,14.7,14.7
2017-01-06T09:30:00-05:00,14.61,14.78,14.28,14.48
2017-01-06T10:30:00-05:00,14.49,14.59,14.34,14.35
2017-01-06T11:30:00-05:00,14.34,14.45,14.34,14.36
2017-01-06T12:30:00-05:00,14.34,14.5,14.29,14.5
2017-01-06T13:30:00-05:00,14.49,14.53,14.41,14.53
2017-01-06T14:30:00-05:00,14.54,14.58,14.51,14.57
2017-01-06T15:30:00-05:00,14.59,14.6,14.53,14.56
2017-01-09T09:30:00-05:00,14.93,15,14.88,14.88
2017-01-09T10:30:00-05:00,14.87,14.88,14.68,14.71
2017-01-09T11:30:00-05:00,14.7,14.75,14.7,14.71
2017-01-09T12:30:00-05:00,14.7,14.72,14.64,14.66
2017-01-09T13:30:00-05:00,14.65,14.67,14.57,14.63
2017-01-09T14:30:00-05:00,14.64,14.71,14.6,14.6
