Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2008-01-02T15:00:00Z,SPY,109.242312704,913,Market,Filled,99738.231498752,Warning: No quote information available at 01/02/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-01-04T15:00:00Z,SPY,106.43530944,-913,Market,Filled,-97175.43751872,Liquidated - Warning: No quote information available at 01/04/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-01-04T16:00:00Z,SPY,105.675854976,919,Market,Filled,97116.110722944,Warning: No quote information available at 01/04/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-01-08T21:00:00Z,SPY,103.509176064,-919,Market On Open,Filled,-95124.932802816,Liquidated 
2008-01-09T15:00:00Z,SPY,103.739990656,917,Market,Filled,95129.571431552,Warning: No quote information available at 01/09/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-01-10T20:00:00Z,SPY,105.824767616,-917,Market,Filled,-97041.311903872,Liquidated - Warning: No quote information available at 01/10/2008 15:00:00 America/New_York, order filled using TradeBar data 
2008-01-10T21:00:00Z,SPY,104.804716032,919,Market On Open,Filled,96315.534033408, 
2008-01-15T16:00:00Z,SPY,103.218796416,-919,Market,Filled,-94858.073906304,Liquidated - Warning: No quote information available at 01/15/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-01-15T17:00:00Z,SPY,103.226242048,926,Market,Filled,95587.500136448,Warning: No quote information available at 01/15/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-01-17T17:00:00Z,SPY,100.538368896,-926,Market,Filled,-93098.529597696,Liquidated - Warning: No quote information available at 01/17/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-01-17T18:00:00Z,SPY,100.59048832,925,Market,Filled,93046.201696,Warning: No quote information available at 01/17/2008 13:00:00 America/New_York, order filled using TradeBar data 
2008-01-18T17:00:00Z,SPY,97.850495744,-925,Market,Filled,-90511.7085632,Liquidated - Warning: No quote information available at 01/18/2008 12:00:00 America/New_York, order filled using TradeBar data 
