Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2008-01-02T15:00:00Z,SPY,109.242312704,913,Market,Filled,99738.231498752,Warning: No quote information available at 01/02/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-01-04T16:00:00Z,SPY,105.675854976,-913,Market,Filled,-96482.055593088,Liquidated - Warning: No quote information available at 01/04/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-01-04T17:00:00Z,SPY,105.958788992,910,Market,Filled,96422.49798272,Warning: No quote information available at 01/04/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-01-15T21:00:00Z,SPY,102.288092416,-910,Market On Open,Filled,-93082.16409856,Liquidated 
2008-01-16T15:00:00Z,SPY,102.332766208,910,Market,Filled,93122.81724928,Warning: No quote information available at 01/16/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-01-17T21:00:00Z,SPY,99.905490176,-910,Market On Open,Filled,-90913.99606016,Liquidated 
2008-01-18T15:00:00Z,SPY,99.592773632,912,Market,Filled,90828.609552384,Warning: No quote information available at 01/18/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-01-22T15:00:00Z,SPY,95.698708096,-912,Market,Filled,-87277.221783552,Liquidated - Warning: No quote information available at 01/22/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-01-22T16:00:00Z,SPY,97.120823808,899,Market,Filled,87311.620603392,Warning: No quote information available at 01/22/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-01-24T15:00:00Z,SPY,100.195869824,-899,Market,Filled,-90076.086971776,Liquidated - Warning: No quote information available at 01/24/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-01-24T16:00:00Z,SPY,99.741686272,903,Market,Filled,90066.742703616,Warning: No quote information available at 01/24/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-01-30T20:00:00Z,SPY,102.801841024,-903,Market,Filled,-92830.062444672,Liquidated - Warning: No quote information available at 01/30/2008 15:00:00 America/New_York, order filled using TradeBar data 
2008-01-30T21:00:00Z,SPY,99.32473088,921,Market On Open,Filled,91478.07714048, 
