Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2008-01-02T15:00:00Z,SPY,109.242312704,913,Market,Filled,99738.231498752,Warning: No quote information available at 01/02/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-01-08T21:00:00Z,SPY,103.509176064,-913,Market On Open,Filled,-94503.877746432,Liquidated 
2008-01-09T15:00:00Z,SPY,103.739990656,910,Market,Filled,94403.39149696,Warning: No quote information available at 01/09/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-01-18T17:00:00Z,SPY,97.850495744,-910,Market,Filled,-89043.95112704,Liquidated - Warning: No quote information available at 01/18/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-01-18T18:00:00Z,SPY,98.565276416,904,Market,Filled,89103.009880064,Warning: No quote information available at 01/18/2008 13:00:00 America/New_York, order filled using TradeBar data 
2008-02-01T20:00:00Z,SPY,103.620860544,-904,Market,Filled,-93673.257931776,Liquidated - Warning: No quote information available at 02/01/2008 15:00:00 America/New_York, order filled using TradeBar data 
2008-02-01T21:00:00Z,SPY,103.635751808,902,Market On Open,Filled,93479.448130816, 
2008-02-07T15:00:00Z,SPY,98.260005504,-902,Market,Filled,-88630.524964608,Liquidated - Warning: No quote information available at 02/07/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-02-07T16:00:00Z,SPY,98.930112384,897,Market,Filled,88740.310808448,Warning: No quote information available at 02/07/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-04-18T15:00:00Z,SPY,103.89426257,-897,Market,Filled,-93193.15352529,Liquidated - Warning: No quote information available at 04/18/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-04-18T16:00:00Z,SPY,104.171114404,895,Market,Filled,93233.14739158,Warning: No quote information available at 04/18/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-06-20T19:00:00Z,SPY,98.720288856,-895,Market,Filled,-88354.65852612,Liquidated - Warning: No quote information available at 06/20/2008 15:00:00 America/New_York, order filled using TradeBar data 
2008-06-20T20:00:00Z,SPY,99.291795708,893,Market On Open,Filled,88667.573567244, 
2008-07-07T17:00:00Z,SPY,93.674484939,-893,Market,Filled,-83651.315050527,Liquidated - Warning: No quote information available at 07/07/2008 13:00:00 America/New_York, order filled using TradeBar data 
2008-07-07T18:00:00Z,SPY,93.486489264,891,Market,Filled,83296.461934224,Warning: No quote information available at 07/07/2008 14:00:00 America/New_York, order filled using TradeBar data 
2008-08-11T16:00:00Z,SPY,98.261579409,-891,Market,Filled,-87551.067253419,Liquidated - Warning: No quote information available at 08/11/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-08-11T17:00:00Z,SPY,98.502213873,889,Market,Filled,87568.468133097,Warning: No quote information available at 08/11/2008 13:00:00 America/New_York, order filled using TradeBar data 
2008-09-04T20:00:00Z,SPY,92.71946691,-889,Market On Open,Filled,-82427.60608299,Liquidated 
2008-09-05T14:00:00Z,SPY,92.726986737,889,Market,Filled,82434.291209193,Warning: No quote information available at 09/05/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-09-17T20:00:00Z,SPY,88.696359465,-889,Market On Open,Filled,-78851.063564385,Liquidated 
2008-09-18T14:00:00Z,SPY,89.117469777,885,Market,Filled,78868.960752645,Warning: No quote information available at 09/18/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-09-19T14:00:00Z,SPY,94.34310732,-885,Market,Filled,-83493.6499782,Liquidated - Warning: No quote information available at 09/19/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-09-19T15:00:00Z,SPY,93.5565366,892,Market,Filled,83452.4306472,Warning: No quote information available at 09/19/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-09-29T14:00:00Z,SPY,88.61021688,-892,Market,Filled,-79040.31345696,Liquidated - Warning: No quote information available at 09/29/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-09-29T15:00:00Z,SPY,88.5270219,893,Market,Filled,79054.6305567,Warning: No quote information available at 09/29/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-10-03T20:00:00Z,SPY,81.01678416,-893,Market On Open,Filled,-72347.98825488,Liquidated 
2008-10-06T14:00:00Z,SPY,80.2831557,901,Market,Filled,72335.1232857,Warning: No quote information available at 10/06/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-10-07T20:00:00Z,SPY,73.741005,-901,Market On Open,Filled,-66440.645505,Liquidated 
2008-10-08T14:00:00Z,SPY,76.44106026,869,Market,Filled,66427.28136594,Warning: No quote information available at 10/08/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-10-09T19:00:00Z,SPY,72.37206942,-869,Market,Filled,-62891.32832598,Liquidated - Warning: No quote information available at 10/09/2008 15:00:00 America/New_York, order filled using TradeBar data 
2008-10-09T20:00:00Z,SPY,65.85260826,906,Market On Open,Filled,59662.46308356, 
2008-10-10T16:00:00Z,SPY,64.87695804,-906,Market,Filled,-58778.52398424,Liquidated - Warning: No quote information available at 10/10/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-10-10T17:00:00Z,SPY,66.01143504,939,Market,Filled,61984.73750256,Warning: No quote information available at 10/10/2008 13:00:00 America/New_York, order filled using TradeBar data 
2008-10-13T14:00:00Z,SPY,70.93506522,-939,Market,Filled,-66608.02624158,Liquidated - Warning: No quote information available at 10/13/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-10-13T15:00:00Z,SPY,71.74432548,928,Market,Filled,66578.73404544,Warning: No quote information available at 10/13/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-10-13T20:00:00Z,SPY,79.15624188,-928,Market On Open,Filled,-73456.99246464,Liquidated 
2008-10-14T14:00:00Z,SPY,76.66795566,958,Market,Filled,73447.90152228,Warning: No quote information available at 10/14/2008 10:00:00 America/New_York, order filled using TradeBar data 
2008-10-15T15:00:00Z,SPY,71.94853134,-958,Market,Filled,-68926.69302372,Liquidated - Warning: No quote information available at 10/15/2008 11:00:00 America/New_York, order filled using TradeBar data 
2008-10-15T16:00:00Z,SPY,72.2661849,954,Market,Filled,68941.9403946,Warning: No quote information available at 10/15/2008 12:00:00 America/New_York, order filled using TradeBar data 
2008-10-15T20:00:00Z,SPY,68.98376478,-954,Market On Open,Filled,-65810.51160012,Liquidated 
2008-10-16T14:00:00Z,SPY,69.34679742,949,Market,Filled,65810.11075158,Warning: No quote information available at 10/16/2008 10:00:00 America/New_York, order filled using TradeBar data 
